subject_id,candidate_id,proposal_index,alpha_hip_deg,alpha_knee_deg,alpha_phase,sample_count,hip_rms_nm,knee_rms_nm,hip_normalized_rms,knee_normalized_rms,compact_replay_match,warning_count
MYOLEG_VP_031,MYOLEG_V2_P00512,512,-5.0,0.0,-0.0,401,37.40756469997498,11.338341726777223,1.022528056099985,0.9928012630183316,True,0
MYOLEG_VP_031,MYOLEG_V2_P09042,9042,-2.0,-1.75,0.0125,401,36.922362587242084,11.586986144372334,1.009265156546711,1.014572920442265,True,0
MYOLEG_VP_031,MYOLEG_V2_P10437,10437,-1.5,-2.25,-0.0,401,36.84285677837889,11.645261658505241,1.0070918816800476,1.0196756070104038,True,0
MYOLEG_VP_031,MYOLEG_V2_P11791,11791,-1.0,-3.25,0.01,401,36.77943794698323,11.767417207195205,1.0053583410203644,1.0303717198941496,True,0
MYOLEG_VP_031,MYOLEG_V2_P14287,14287,-0.25,0.0,-0.0,401,36.62035273660941,11.416835572612303,1.0010097796472177,0.9996742953507575,True,0
MYOLEG_VP_031,MYOLEG_V2_P14512,14512,0.0,-5.0,-0.0,401,36.640524180427505,11.966856669887452,1.001561161898414,1.0478349217651024,True,0
MYOLEG_VP_031,MYOLEG_V2_P14987,14987,0.0,-0.25,-0.0,401,36.58616734470361,11.447759097520208,1.000075329019041,1.0023820029966686,True,0
MYOLEG_VP_031,MYOLEG_V2_P15000,15000,0.0,0.0,-0.03,401,36.57131825371382,11.409252884843243,0.999669432183296,0.9990103444683796,True,0
MYOLEG_VP_031,MYOLEG_V2_P15011,15011,0.0,0.0,-0.0025,401,36.58213874453061,11.419573937561227,0.9999652080652515,0.9999140704647388,True,0
MYOLEG_VP_031,MYOLEG_V2_P15012,15012,0.0,0.0,-0.0,401,36.583411552198214,11.420555300570625,1.0,0.9999999999999996,True,0
MYOLEG_VP_031,MYOLEG_V2_P15013,15013,0.0,0.0,0.0025,401,36.58410840851853,11.421570127141528,1.0000190484236093,1.000088859652109,True,0
MYOLEG_VP_031,MYOLEG_V2_P15024,15024,0.0,0.0,0.03,401,36.59603165851107,11.433891564792734,1.0003449679999048,1.0011677421868828,True,0
MYOLEG_VP_031,MYOLEG_V2_P15037,15037,0.0,0.25,-0.0,401,36.58004554388472,11.393535521169428,0.9999079908578594,0.9976341098405388,True,0
MYOLEG_VP_031,MYOLEG_V2_P15062,15062,0.0,0.5,-0.0,401,36.576952936067876,11.36671146864085,0.9998234550618352,0.9952853578033031,True,0
MYOLEG_VP_031,MYOLEG_V2_P15737,15737,0.25,0.0,-0.0,401,36.546337243832255,11.424245951977895,0.9989865814369702,1.0003231586652428,True,0
MYOLEG_VP_031,MYOLEG_V2_P20125,20125,1.75,0.5,-0.03,401,36.31866481114914,11.380364843217336,0.9927632025058317,0.996480866622021,True,0
MYOLEG_VP_031,MYOLEG_V2_P20812,20812,2.0,0.0,-0.0,401,36.30212092799656,11.448829710201526,0.9923109788763057,1.00247574735963,True,0
MYOLEG_VP_031,MYOLEG_V2_P20825,20825,2.0,0.25,-0.03,401,36.28816933478809,11.410671753804053,0.9919296149570723,0.9991345826444986,True,0
