case_id,subject_id,scenario_name,policy_id,iteration,trial_purpose,trajectory_id,delta_J_pred,delta_J_actual,predicted_direction,actual_direction,executed_false_improvement,false_improvement_executed_as_exploit,best_updated
baseline__matched_linear,baseline,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,1,EXPLORE,asym_h+0.250_k+0.000_p+0.00000,-0.000489524170139,-0.000489905908342,NEUTRAL,NEUTRAL,False,False,False
baseline__matched_linear,baseline,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,2,EXPLOIT,asym_h+0.000_k-1.000_p+0.00000,-0.00590799515335,-0.005912648893,IMPROVE,IMPROVE,False,False,True
baseline__matched_linear,baseline,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,3,EXPLOIT,asym_h+0.000_k-2.000_p+0.00000,-0.00583010987863,-0.00583014154556,IMPROVE,IMPROVE,False,False,True
baseline__matched_linear,baseline,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,4,EXPLOIT,asym_h+0.000_k-3.000_p+0.00000,-0.00575289522019,-0.00575292732249,IMPROVE,IMPROVE,False,False,True
baseline__matched_linear,baseline,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,5,EXPLOIT,asym_h+0.000_k-4.000_p+0.00000,-0.00567600159601,-0.00567603413118,IMPROVE,IMPROVE,False,False,True
baseline__matched_linear,baseline,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,6,EXPLOIT,asym_h+0.000_k-5.000_p+0.00000,-0.0055994555285,-0.00559948849373,IMPROVE,IMPROVE,False,False,True
baseline__matched_linear,baseline,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,7,EXPLORE,asym_h+0.500_k+0.000_p+0.00000,0.0277952139849,0.027799615321,WORSE,WORSE,False,False,False
baseline__matched_linear,baseline,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,8,EXPLORE,asym_h+0.750_k+0.000_p+0.00000,0.0273166970742,0.0273210984702,WORSE,WORSE,False,False,False
baseline__matched_linear,baseline,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,9,EXPLORE,asym_h+1.000_k+0.000_p+0.00000,0.0268413969907,0.0268457984414,WORSE,WORSE,False,False,False
baseline__matched_linear,baseline,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,10,EXPLORE,asym_h+1.250_k+0.000_p+0.00000,0.0263693281611,0.0263737296612,WORSE,WORSE,False,False,False
