case_id,subject_id,scenario_name,iteration,current_validation_trajectory_id,candidate_validation_trajectory_id,delta_J_pred,delta_J_actual,e_delta_J,current_item_prediction_error_abs,candidate_item_prediction_error_abs,calibration_data_role,adaptation_executed_outcome_used_directly,heldout_final_test_used,bound_status,policy_id,current_has_personalization_alpha,candidate_has_personalization_alpha,formal_parameter_distance_steps,validation_pair_scale_class,same_formal_one_step_local_scale,larger_formal_parameter_distance,local_scale_classification_reason,current_guard_uses_e_delta_J,local_pairwise_candidate_status
baseline__matched_linear,baseline,matched_linear,0,identification_excitation_trajectory:hip_dominant:slow,identification_excitation_trajectory:knee_dominant:fast,0.707187967453,0.707187967435,1.7386980744e-11,0,1.7386980744e-11,DESIGNATED_VALIDATION_ONLY,False,False,RESEARCH_CANDIDATE_ONLY_NOT_FORMAL_THRESHOLD,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,False,False,,UNMAPPABLE_IDENTIFICATION_EXCITATION_PAIR_NOT_PERSONALIZATION_ALPHA_PAIR,False,False,designated_validation_items_are_hip_dominant_slow_and_knee_dominant_fast_identification_excitations_without_generator_alpha_coordinates,True,NOT_ESTIMABLE_NO_DESIGNATED_VALIDATION_PAIR_ON_FORMAL_LOCAL_ALPHA_SCALE
baseline__matched_linear,baseline,matched_linear,1,identification_excitation_trajectory:hip_dominant:slow,identification_excitation_trajectory:knee_dominant:fast,0.707187967453,0.707187967435,1.7386980744e-11,0,1.7386980744e-11,DESIGNATED_VALIDATION_ONLY,False,False,RESEARCH_CANDIDATE_ONLY_NOT_FORMAL_THRESHOLD,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,False,False,,UNMAPPABLE_IDENTIFICATION_EXCITATION_PAIR_NOT_PERSONALIZATION_ALPHA_PAIR,False,False,designated_validation_items_are_hip_dominant_slow_and_knee_dominant_fast_identification_excitations_without_generator_alpha_coordinates,True,NOT_ESTIMABLE_NO_DESIGNATED_VALIDATION_PAIR_ON_FORMAL_LOCAL_ALPHA_SCALE
baseline__matched_linear,baseline,matched_linear,2,identification_excitation_trajectory:hip_dominant:slow,identification_excitation_trajectory:knee_dominant:fast,0.707187967453,0.707187967435,1.7386980744e-11,0,1.7386980744e-11,DESIGNATED_VALIDATION_ONLY,False,False,RESEARCH_CANDIDATE_ONLY_NOT_FORMAL_THRESHOLD,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,False,False,,UNMAPPABLE_IDENTIFICATION_EXCITATION_PAIR_NOT_PERSONALIZATION_ALPHA_PAIR,False,False,designated_validation_items_are_hip_dominant_slow_and_knee_dominant_fast_identification_excitations_without_generator_alpha_coordinates,True,NOT_ESTIMABLE_NO_DESIGNATED_VALIDATION_PAIR_ON_FORMAL_LOCAL_ALPHA_SCALE
baseline__matched_linear,baseline,matched_linear,3,identification_excitation_trajectory:hip_dominant:slow,identification_excitation_trajectory:knee_dominant:fast,0.707187967453,0.707187967435,1.7386980744e-11,0,1.7386980744e-11,DESIGNATED_VALIDATION_ONLY,False,False,RESEARCH_CANDIDATE_ONLY_NOT_FORMAL_THRESHOLD,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,False,False,,UNMAPPABLE_IDENTIFICATION_EXCITATION_PAIR_NOT_PERSONALIZATION_ALPHA_PAIR,False,False,designated_validation_items_are_hip_dominant_slow_and_knee_dominant_fast_identification_excitations_without_generator_alpha_coordinates,True,NOT_ESTIMABLE_NO_DESIGNATED_VALIDATION_PAIR_ON_FORMAL_LOCAL_ALPHA_SCALE
baseline__matched_linear,baseline,matched_linear,4,identification_excitation_trajectory:hip_dominant:slow,identification_excitation_trajectory:knee_dominant:fast,0.707187967453,0.707187967435,1.7386980744e-11,0,1.7386980744e-11,DESIGNATED_VALIDATION_ONLY,False,False,RESEARCH_CANDIDATE_ONLY_NOT_FORMAL_THRESHOLD,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,False,False,,UNMAPPABLE_IDENTIFICATION_EXCITATION_PAIR_NOT_PERSONALIZATION_ALPHA_PAIR,False,False,designated_validation_items_are_hip_dominant_slow_and_knee_dominant_fast_identification_excitations_without_generator_alpha_coordinates,True,NOT_ESTIMABLE_NO_DESIGNATED_VALIDATION_PAIR_ON_FORMAL_LOCAL_ALPHA_SCALE
baseline__matched_linear,baseline,matched_linear,5,identification_excitation_trajectory:hip_dominant:slow,identification_excitation_trajectory:knee_dominant:fast,0.707187967453,0.707187967435,1.7386980744e-11,0,1.7386980744e-11,DESIGNATED_VALIDATION_ONLY,False,False,RESEARCH_CANDIDATE_ONLY_NOT_FORMAL_THRESHOLD,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,False,False,,UNMAPPABLE_IDENTIFICATION_EXCITATION_PAIR_NOT_PERSONALIZATION_ALPHA_PAIR,False,False,designated_validation_items_are_hip_dominant_slow_and_knee_dominant_fast_identification_excitations_without_generator_alpha_coordinates,True,NOT_ESTIMABLE_NO_DESIGNATED_VALIDATION_PAIR_ON_FORMAL_LOCAL_ALPHA_SCALE
baseline__matched_linear,baseline,matched_linear,6,identification_excitation_trajectory:hip_dominant:slow,identification_excitation_trajectory:knee_dominant:fast,0.707187967453,0.707187967435,1.7386980744e-11,0,1.7386980744e-11,DESIGNATED_VALIDATION_ONLY,False,False,RESEARCH_CANDIDATE_ONLY_NOT_FORMAL_THRESHOLD,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,False,False,,UNMAPPABLE_IDENTIFICATION_EXCITATION_PAIR_NOT_PERSONALIZATION_ALPHA_PAIR,False,False,designated_validation_items_are_hip_dominant_slow_and_knee_dominant_fast_identification_excitations_without_generator_alpha_coordinates,True,NOT_ESTIMABLE_NO_DESIGNATED_VALIDATION_PAIR_ON_FORMAL_LOCAL_ALPHA_SCALE
baseline__matched_linear,baseline,matched_linear,7,identification_excitation_trajectory:hip_dominant:slow,identification_excitation_trajectory:knee_dominant:fast,0.707187967453,0.707187967435,1.7386980744e-11,0,1.7386980744e-11,DESIGNATED_VALIDATION_ONLY,False,False,RESEARCH_CANDIDATE_ONLY_NOT_FORMAL_THRESHOLD,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,False,False,,UNMAPPABLE_IDENTIFICATION_EXCITATION_PAIR_NOT_PERSONALIZATION_ALPHA_PAIR,False,False,designated_validation_items_are_hip_dominant_slow_and_knee_dominant_fast_identification_excitations_without_generator_alpha_coordinates,True,NOT_ESTIMABLE_NO_DESIGNATED_VALIDATION_PAIR_ON_FORMAL_LOCAL_ALPHA_SCALE
baseline__matched_linear,baseline,matched_linear,8,identification_excitation_trajectory:hip_dominant:slow,identification_excitation_trajectory:knee_dominant:fast,0.707187967453,0.707187967435,1.7386980744e-11,0,1.7386980744e-11,DESIGNATED_VALIDATION_ONLY,False,False,RESEARCH_CANDIDATE_ONLY_NOT_FORMAL_THRESHOLD,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,False,False,,UNMAPPABLE_IDENTIFICATION_EXCITATION_PAIR_NOT_PERSONALIZATION_ALPHA_PAIR,False,False,designated_validation_items_are_hip_dominant_slow_and_knee_dominant_fast_identification_excitations_without_generator_alpha_coordinates,True,NOT_ESTIMABLE_NO_DESIGNATED_VALIDATION_PAIR_ON_FORMAL_LOCAL_ALPHA_SCALE
baseline__matched_linear,baseline,matched_linear,9,identification_excitation_trajectory:hip_dominant:slow,identification_excitation_trajectory:knee_dominant:fast,0.707187967453,0.707187967435,1.7386980744e-11,0,1.7386980744e-11,DESIGNATED_VALIDATION_ONLY,False,False,RESEARCH_CANDIDATE_ONLY_NOT_FORMAL_THRESHOLD,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,False,False,,UNMAPPABLE_IDENTIFICATION_EXCITATION_PAIR_NOT_PERSONALIZATION_ALPHA_PAIR,False,False,designated_validation_items_are_hip_dominant_slow_and_knee_dominant_fast_identification_excitations_without_generator_alpha_coordinates,True,NOT_ESTIMABLE_NO_DESIGNATED_VALIDATION_PAIR_ON_FORMAL_LOCAL_ALPHA_SCALE
