factor_id,response,pearson_r,spearman_rho,sample_count,analysis_role,used_to_modify_ranges_sampling_or_subjects
FEMUR_MASS_INERTIA_SCALE,hip_tau_rms_nm,0.5711824789585161,0.5483870967741935,32,POST_FREEZE_DESCRIPTIVE_ONLY,False
FEMUR_MASS_INERTIA_SCALE,knee_tau_rms_nm,0.2026053768365293,0.1726539589442815,32,POST_FREEZE_DESCRIPTIVE_ONLY,False
FEMUR_MASS_INERTIA_SCALE,hip_tau_peak_abs_nm,0.6246360007742083,0.6213343108504398,32,POST_FREEZE_DESCRIPTIVE_ONLY,False
FEMUR_MASS_INERTIA_SCALE,knee_tau_peak_abs_nm,0.23749722756003108,0.21444281524926684,32,POST_FREEZE_DESCRIPTIVE_ONLY,False
TIBIA_PATELLA_MASS_INERTIA_SCALE,hip_tau_rms_nm,0.7753676104334513,0.7576979472140761,32,POST_FREEZE_DESCRIPTIVE_ONLY,False
TIBIA_PATELLA_MASS_INERTIA_SCALE,knee_tau_rms_nm,0.6542915763894788,0.6301319648093842,32,POST_FREEZE_DESCRIPTIVE_ONLY,False
TIBIA_PATELLA_MASS_INERTIA_SCALE,hip_tau_peak_abs_nm,0.7917073328865003,0.7965542521994134,32,POST_FREEZE_DESCRIPTIVE_ONLY,False
TIBIA_PATELLA_MASS_INERTIA_SCALE,knee_tau_peak_abs_nm,0.6507735170100778,0.629765395894428,32,POST_FREEZE_DESCRIPTIVE_ONLY,False
FOOT_COMPLEX_MASS_INERTIA_SCALE,hip_tau_rms_nm,0.5894397150863188,0.597507331378299,32,POST_FREEZE_DESCRIPTIVE_ONLY,False
FOOT_COMPLEX_MASS_INERTIA_SCALE,knee_tau_rms_nm,0.8182760235188218,0.8273460410557183,32,POST_FREEZE_DESCRIPTIVE_ONLY,False
FOOT_COMPLEX_MASS_INERTIA_SCALE,hip_tau_peak_abs_nm,0.5429843798551858,0.5142961876832844,32,POST_FREEZE_DESCRIPTIVE_ONLY,False
FOOT_COMPLEX_MASS_INERTIA_SCALE,knee_tau_peak_abs_nm,0.808719811415497,0.8159824046920819,32,POST_FREEZE_DESCRIPTIVE_ONLY,False
HIP_ONLY_PASSIVE_FP_MAX_SCALE,hip_tau_rms_nm,0.389037487433176,0.41532258064516125,32,POST_FREEZE_DESCRIPTIVE_ONLY,False
HIP_ONLY_PASSIVE_FP_MAX_SCALE,knee_tau_rms_nm,0.15524216838923763,0.14662756598240467,32,POST_FREEZE_DESCRIPTIVE_ONLY,False
HIP_ONLY_PASSIVE_FP_MAX_SCALE,hip_tau_peak_abs_nm,0.33619796091845083,0.33724340175953077,32,POST_FREEZE_DESCRIPTIVE_ONLY,False
HIP_ONLY_PASSIVE_FP_MAX_SCALE,knee_tau_peak_abs_nm,0.13871991570699732,0.14699413489736068,32,POST_FREEZE_DESCRIPTIVE_ONLY,False
KNEE_ONLY_PASSIVE_FP_MAX_SCALE,hip_tau_rms_nm,0.20891458833222828,0.19904692082111436,32,POST_FREEZE_DESCRIPTIVE_ONLY,False
KNEE_ONLY_PASSIVE_FP_MAX_SCALE,knee_tau_rms_nm,0.13551827192564259,0.12096774193548386,32,POST_FREEZE_DESCRIPTIVE_ONLY,False
KNEE_ONLY_PASSIVE_FP_MAX_SCALE,hip_tau_peak_abs_nm,0.22887928770349145,0.23313782991202345,32,POST_FREEZE_DESCRIPTIVE_ONLY,False
KNEE_ONLY_PASSIVE_FP_MAX_SCALE,knee_tau_peak_abs_nm,0.2923425454464309,0.27382697947214074,32,POST_FREEZE_DESCRIPTIVE_ONLY,False
HIP_KNEE_BIARTICULAR_PASSIVE_FP_MAX_SCALE,hip_tau_rms_nm,-0.5017498236941713,-0.5051319648093842,32,POST_FREEZE_DESCRIPTIVE_ONLY,False
HIP_KNEE_BIARTICULAR_PASSIVE_FP_MAX_SCALE,knee_tau_rms_nm,-0.42539685589407233,-0.4109237536656892,32,POST_FREEZE_DESCRIPTIVE_ONLY,False
HIP_KNEE_BIARTICULAR_PASSIVE_FP_MAX_SCALE,hip_tau_peak_abs_nm,-0.5002584952330292,-0.5021994134897361,32,POST_FREEZE_DESCRIPTIVE_ONLY,False
HIP_KNEE_BIARTICULAR_PASSIVE_FP_MAX_SCALE,knee_tau_peak_abs_nm,-0.3825471173187654,-0.3574046920821114,32,POST_FREEZE_DESCRIPTIVE_ONLY,False
