model,endpoint,change,improvement_pct,beta_flex,beta_extend,flexion_share,share_shift
LEG_0_NOMINAL,E0,coordination_only,0.4442943509831473,-0.12,0.12,0.5666666666666667,0.0
LEG_0_NOMINAL,E0,timing_only,0.4532429075961515,0.0,0.0,0.6666666666666666,0.1
LEG_0_NOMINAL,E0,coordination_and_timing,0.9052828187596157,-0.12,0.12,0.6666666666666666,0.1
LEG_0_NOMINAL,E2,coordination_only,0.0,0.0,0.0,0.5666666666666667,0.0
LEG_0_NOMINAL,E2,timing_only,0.12080862346196541,0.0,0.0,0.6666666666666666,0.1
LEG_0_NOMINAL,E2,coordination_and_timing,0.12080862346196541,0.0,0.0,0.6666666666666666,0.1
LEG_1_HEAVY_HIP_STIFF,E0,coordination_only,0.06376169665386122,-0.12,0.12,0.5666666666666667,0.0
LEG_1_HEAVY_HIP_STIFF,E0,timing_only,0.8553876140314735,0.0,0.0,0.4666666666666667,-0.1
LEG_1_HEAVY_HIP_STIFF,E0,coordination_and_timing,0.9178071909752152,-0.12,0.12,0.4666666666666667,-0.1
LEG_1_HEAVY_HIP_STIFF,E2,coordination_only,0.0,0.0,0.0,0.5666666666666667,0.0
LEG_1_HEAVY_HIP_STIFF,E2,timing_only,0.04162258264803764,0.0,0.0,0.6666666666666666,0.1
LEG_1_HEAVY_HIP_STIFF,E2,coordination_and_timing,0.04173201902347712,0.0,0.03,0.6666666666666666,0.1
LEG_2_KNEE_DOMINANT,E0,coordination_only,4.02856743528202,-0.12,0.12,0.5666666666666667,0.0
LEG_2_KNEE_DOMINANT,E0,timing_only,0.12845638778653262,0.0,0.0,0.4666666666666667,-0.1
LEG_2_KNEE_DOMINANT,E0,coordination_and_timing,4.168695185548982,-0.12,0.12,0.4666666666666667,-0.1
LEG_2_KNEE_DOMINANT,E2,coordination_only,0.0,0.0,0.0,0.5666666666666667,0.0
LEG_2_KNEE_DOMINANT,E2,timing_only,0.025928511369555096,0.0,0.0,0.6666666666666666,0.1
LEG_2_KNEE_DOMINANT,E2,coordination_and_timing,0.025928511369555096,0.0,0.0,0.6666666666666666,0.1
LEG_3_NONLINEAR_COUPLED,E0,coordination_only,2.614463602275736,-0.12,0.12,0.5666666666666667,0.0
LEG_3_NONLINEAR_COUPLED,E0,timing_only,0.3194045592108485,0.0,0.0,0.4666666666666667,-0.1
LEG_3_NONLINEAR_COUPLED,E0,coordination_and_timing,2.9424741171509763,-0.12,0.12,0.4666666666666667,-0.1
LEG_3_NONLINEAR_COUPLED,E2,coordination_only,0.0,0.0,0.0,0.5666666666666667,0.0
LEG_3_NONLINEAR_COUPLED,E2,timing_only,0.005866314364522118,0.0,0.0,0.6666666666666666,0.1
LEG_3_NONLINEAR_COUPLED,E2,coordination_and_timing,0.005866314364522118,0.0,0.0,0.6666666666666666,0.1
LEG_4_STRONG_STRUCTURAL_MISMATCH,E0,coordination_only,0.9567969540346871,-0.12,0.12,0.5666666666666667,0.0
LEG_4_STRONG_STRUCTURAL_MISMATCH,E0,timing_only,0.7991913203260267,0.0,0.0,0.4666666666666667,-0.1
LEG_4_STRONG_STRUCTURAL_MISMATCH,E0,coordination_and_timing,1.76433643246241,-0.12,0.12,0.4666666666666667,-0.1
LEG_4_STRONG_STRUCTURAL_MISMATCH,E2,coordination_only,0.3299980336101571,-0.12,0.12,0.5666666666666667,0.0
LEG_4_STRONG_STRUCTURAL_MISMATCH,E2,timing_only,0.0009274306023376866,0.0,0.0,0.6666666666666666,0.1
LEG_4_STRONG_STRUCTURAL_MISMATCH,E2,coordination_and_timing,0.330895276977039,-0.12,0.12,0.6666666666666666,0.1
MYOLEG_NATIVE_P0,E0,coordination_only,0.8963042961302661,0.12,-0.12,0.5666666666666667,0.0
MYOLEG_NATIVE_P0,E0,timing_only,1.2952209265669523,0.0,0.0,0.6666666666666666,0.1
MYOLEG_NATIVE_P0,E0,coordination_and_timing,2.1254417972744575,0.12,-0.12,0.6666666666666666,0.1
MYOLEG_NATIVE_P0,E2,coordination_only,0.40204415291975604,0.12,-0.12,0.5666666666666667,0.0
MYOLEG_NATIVE_P0,E2,timing_only,0.0,0.0,0.0,0.5666666666666667,0.0
MYOLEG_NATIVE_P0,E2,coordination_and_timing,0.4444484977022767,0.12,-0.12,0.6666666666666666,0.1
