subject_id,spearman_MYOLEG_VP_001,spearman_MYOLEG_VP_002,spearman_MYOLEG_VP_003,spearman_MYOLEG_VP_005,spearman_MYOLEG_VP_006,spearman_MYOLEG_VP_007,spearman_MYOLEG_VP_009,spearman_MYOLEG_VP_010,spearman_MYOLEG_VP_011,spearman_MYOLEG_VP_013,spearman_MYOLEG_VP_014,spearman_MYOLEG_VP_015,spearman_MYOLEG_VP_017,spearman_MYOLEG_VP_018,spearman_MYOLEG_VP_019,spearman_MYOLEG_VP_021,spearman_MYOLEG_VP_022,spearman_MYOLEG_VP_023,spearman_MYOLEG_VP_025,spearman_MYOLEG_VP_026,spearman_MYOLEG_VP_027,spearman_MYOLEG_VP_029,spearman_MYOLEG_VP_030,spearman_MYOLEG_VP_031
MYOLEG_VP_001,1.0,0.9997061685917917,0.999925387072991,0.999726566724011,0.999873482428115,0.9997653969034163,0.9999554190218728,0.9997484394200051,0.99972917178668,0.9997642664045222,0.9998422216760875,0.9999267141803884,0.9999024821823546,0.9998846891128041,0.9998286556893587,0.9996048169083314,0.9999342836077663,0.999936642909806,0.9999968051118212,0.9999942983534039,0.9996133202260998,0.9998117473580733,0.9999883509461786,0.9998568198574589
MYOLEG_VP_002,0.9997061685917917,1.0,0.9999084787417056,0.999996903416073,0.9999511427869255,0.9999895305971984,0.999867485868764,0.9999936593757681,0.999996313590563,0.9999900712705826,0.9999659867289261,0.9999068567215533,0.9999306955025805,0.9999440157286803,0.999971196854264,0.9999834848857214,0.9998984517080366,0.9998956500368641,0.9997277955271566,0.9996626198083067,0.9999849594494963,0.9999769476529862,0.999773212091423,0.9999593020398134
MYOLEG_VP_003,0.999925387072991,0.9999084787417056,1.0,0.9999195871221431,0.9999846645367413,0.9999401818628656,0.9999889899238142,0.9999311870238388,0.999921061685918,0.9999396903416073,0.9999732612435489,0.999999164413861,0.9999938068321457,0.9999883509461786,0.999968051118211,0.9998507249938561,0.9999973949373311,0.9999961169820595,0.9999360530842961,0.9999040058982552,0.999855640206439,0.9999613172769722,0.9999564020643894,0.9999790611943967
MYOLEG_VP_005,0.999726566724011,0.999996903416073,0.9999195871221431,1.0,0.9999590071270584,0.9999933644630131,0.9998808060948636,0.9999971000245762,0.9999994593266159,0.9999940034406489,0.9999724256574098,0.9999179651019907,0.9999402310149915,0.9999526173507004,0.9999768001966086,0.9999780289997543,0.9999099533054805,0.9999074956991891,0.9997474072253627,0.9996842467436718,0.9999796510199067,0.9999820594740725,0.9997911526173507,0.999966281641681
MYOLEG_VP_006,0.999873482428115,0.9999511427869255,0.9999846645367413,0.9999590071270584,1.0,0.9999722290489065,0.9999668223150652,0.9999664290980587,0.9999599410174491,0.9999717375276482,0.9999927254853773,0.9999839764069797,0.9999924305726224,0.9999975915458345,0.9999894322929468,0.9999074465470632,0.9999800442369133,0.999978422216761,0.9998872941754732,0.9998448758908823,0.9999110838043747,0.999985352666503,0.9999149668223152,0.9999965101990662
MYOLEG_VP_007,0.9997653969034163,0.9999895305971984,0.9999401818628656,0.9999933644630131,0.9999722290489065,1.0,0.9999054804620301,0.9999971491767019,0.9999938559842714,0.9999989678053577,0.9999833374293439,0.9999386089948392,0.9999565495207668,0.9999669206193169,0.9999871712951586,0.9999664290980587,0.9999314819365939,0.9999294666994348,0.9997846153846155,0.9997260260506268,0.9999681494224626,0.9999913000737283,0.9998254116490539,0.9999784713688867
MYOLEG_VP_009,0.9999554190218728,0.999867485868764,0.9999889899238142,0.9998808060948636,0.9999668223150652,0.9999054804620301,1.0,0.9998943229294667,0.9998825264192678,0.9999045957237652,0.9999512410911773,0.999989383140821,0.9999802899975426,0.9999721798967806,0.9999437699680512,0.9997987220447284,0.9999923322683707,0.9999935119193907,0.9999627426886214,0.9999381666257067,0.9998048169083313,0.9999338903907594,0.9999771442614894,0.9999588596706809
MYOLEG_VP_010,0.9997484394200051,0.9999936593757681,0.9999311870238388,0.9999971000245762,0.9999664290980587,0.9999971491767019,0.9998943229294667,1.0,0.9999970508724504,0.9999975423937086,0.9999784713688867,0.9999295158515608,0.9999495699188992,0.9999608749078398,0.9999826001474564,0.9999722782010323,0.9999219955763087,0.9999194888178914,0.9997682968788402,0.9997079380683216,0.9999739002211846,0.9999871221430326,0.9998102727942986,0.9999729171786681
MYOLEG_VP_011,0.99972917178668,0.999996313590563,0.999921061685918,0.9999994593266159,0.9999599410174491,0.9999938559842714,0.9998825264192678,0.9999970508724504,1.0,0.9999942000491522,0.9999732120914231,0.9999193905136399,0.9999413123617598,0.9999536003932171,0.999977537478496,0.9999771934136151,0.9999115261735071,0.9999091668714674,0.9997498156795283,0.9996869501105924,0.9999788154337677,0.9999826492995822,0.9997934136151391,0.9999670680756944
MYOLEG_VP_013,0.9997642664045222,0.9999900712705826,0.9999396903416073,0.9999940034406489,0.9999717375276482,0.9999989678053577,0.9999045957237652,0.9999975423937086,0.9999942000491522,1.0,0.9999827967559599,0.9999380683214549,0.9999562054558861,0.9999662324895552,0.9999867289260261,0.9999670189235684,0.999930892111084,0.99992858196117,0.9997835831899731,0.9997250921602361,0.9999687392479725,0.9999908085524699,0.9998243794544115,0.9999778815433769
